grantee,routine_schema,routine_name,privilege_type
anon,public,gbt_bool_same,EXECUTE
authenticated,public,gbt_bool_same,EXECUTE
postgres,public,gbt_bool_same,EXECUTE
service_role,public,gbt_bool_same,EXECUTE
PUBLIC,public,gbt_bool_union,EXECUTE
anon,public,gbt_bool_union,EXECUTE
authenticated,public,gbt_bool_union,EXECUTE
postgres,public,gbt_bool_union,EXECUTE
service_role,public,gbt_bool_union,EXECUTE
PUBLIC,public,gbt_bpchar_compress,EXECUTE
anon,public,gbt_bpchar_compress,EXECUTE
authenticated,public,gbt_bpchar_compress,EXECUTE
postgres,public,gbt_bpchar_compress,EXECUTE
service_role,public,gbt_bpchar_compress,EXECUTE
PUBLIC,public,gbt_bpchar_consistent,EXECUTE
anon,public,gbt_bpchar_consistent,EXECUTE
authenticated,public,gbt_bpchar_consistent,EXECUTE
postgres,public,gbt_bpchar_consistent,EXECUTE
service_role,public,gbt_bpchar_consistent,EXECUTE
PUBLIC,public,gbt_bytea_compress,EXECUTE
anon,public,gbt_bytea_compress,EXECUTE
authenticated,public,gbt_bytea_compress,EXECUTE
postgres,public,gbt_bytea_compress,EXECUTE
service_role,public,gbt_bytea_compress,EXECUTE
PUBLIC,public,gbt_bytea_consistent,EXECUTE
anon,public,gbt_bytea_consistent,EXECUTE
authenticated,public,gbt_bytea_consistent,EXECUTE
postgres,public,gbt_bytea_consistent,EXECUTE
service_role,public,gbt_bytea_consistent,EXECUTE
PUBLIC,public,gbt_bytea_penalty,EXECUTE
anon,public,gbt_bytea_penalty,EXECUTE
authenticated,public,gbt_bytea_penalty,EXECUTE
postgres,public,gbt_bytea_penalty,EXECUTE
service_role,public,gbt_bytea_penalty,EXECUTE
PUBLIC,public,gbt_bytea_picksplit,EXECUTE
anon,public,gbt_bytea_picksplit,EXECUTE
authenticated,public,gbt_bytea_picksplit,EXECUTE
postgres,public,gbt_bytea_picksplit,EXECUTE
service_role,public,gbt_bytea_picksplit,EXECUTE
PUBLIC,public,gbt_bytea_same,EXECUTE
anon,public,gbt_bytea_same,EXECUTE
authenticated,public,gbt_bytea_same,EXECUTE
postgres,public,gbt_bytea_same,EXECUTE
service_role,public,gbt_bytea_same,EXECUTE
PUBLIC,public,gbt_bytea_union,EXECUTE
anon,public,gbt_bytea_union,EXECUTE
authenticated,public,gbt_bytea_union,EXECUTE
postgres,public,gbt_bytea_union,EXECUTE
service_role,public,gbt_bytea_union,EXECUTE
PUBLIC,public,gbt_cash_compress,EXECUTE
anon,public,gbt_cash_compress,EXECUTE
authenticated,public,gbt_cash_compress,EXECUTE
postgres,public,gbt_cash_compress,EXECUTE
service_role,public,gbt_cash_compress,EXECUTE
PUBLIC,public,gbt_cash_consistent,EXECUTE
anon,public,gbt_cash_consistent,EXECUTE
authenticated,public,gbt_cash_consistent,EXECUTE
postgres,public,gbt_cash_consistent,EXECUTE
service_role,public,gbt_cash_consistent,EXECUTE
PUBLIC,public,gbt_cash_distance,EXECUTE
anon,public,gbt_cash_distance,EXECUTE
authenticated,public,gbt_cash_distance,EXECUTE
postgres,public,gbt_cash_distance,EXECUTE
service_role,public,gbt_cash_distance,EXECUTE
PUBLIC,public,gbt_cash_fetch,EXECUTE
anon,public,gbt_cash_fetch,EXECUTE
authenticated,public,gbt_cash_fetch,EXECUTE
postgres,public,gbt_cash_fetch,EXECUTE
service_role,public,gbt_cash_fetch,EXECUTE
PUBLIC,public,gbt_cash_penalty,EXECUTE
anon,public,gbt_cash_penalty,EXECUTE
authenticated,public,gbt_cash_penalty,EXECUTE
postgres,public,gbt_cash_penalty,EXECUTE
service_role,public,gbt_cash_penalty,EXECUTE
PUBLIC,public,gbt_cash_picksplit,EXECUTE
anon,public,gbt_cash_picksplit,EXECUTE
authenticated,public,gbt_cash_picksplit,EXECUTE
postgres,public,gbt_cash_picksplit,EXECUTE
service_role,public,gbt_cash_picksplit,EXECUTE
PUBLIC,public,gbt_cash_same,EXECUTE
anon,public,gbt_cash_same,EXECUTE
authenticated,public,gbt_cash_same,EXECUTE
postgres,public,gbt_cash_same,EXECUTE
service_role,public,gbt_cash_same,EXECUTE
PUBLIC,public,gbt_cash_union,EXECUTE
anon,public,gbt_cash_union,EXECUTE
authenticated,public,gbt_cash_union,EXECUTE
postgres,public,gbt_cash_union,EXECUTE
service_role,public,gbt_cash_union,EXECUTE
PUBLIC,public,gbt_date_compress,EXECUTE
anon,public,gbt_date_compress,EXECUTE
authenticated,public,gbt_date_compress,EXECUTE
postgres,public,gbt_date_compress,EXECUTE
service_role,public,gbt_date_compress,EXECUTE
PUBLIC,public,gbt_date_consistent,EXECUTE
